profile,mode,cadence_tag,model,split,w_ml,w_carry,ml_sharpe,carry_sharpe,sleeve_sharpe,sleeve_max_dd_log,sleeve_total_log,sleeve_hit_rate,sleeve_calmar,n_bars,n_symbols,sleeve_net_sharpe,sleeve_net_max_dd_log,pnl_grid,decision_grid,execution_lag,rebalance_grid,bootstrap
wide20_8h_dual,8h_decide_1h_exec,8h_fwd5d,catboost_reg,validation,0.35,0.65,0.7129996344353533,0.8322421208707133,0.941805560072766,-0.0778208772267423,0.10513922137953643,0.5072547881601858,1.3510413288351686,8615,20,0.941805560072766,-0.0778208772267423,1h,8h,1h (1 bar),8h (every 15 bars = 5d),
wide20_8h_dual,8h_decide_1h_exec,8h_fwd5d,catboost_reg,test,0.35,0.65,1.114048500211769,1.6208238859578554,1.6950352239257303,-0.07754875682083866,0.2701507461386723,0.5129163551790016,3.483624460451418,12039,20,1.6950352239257303,-0.07754875682083866,1h,8h,1h (1 bar),8h (every 15 bars = 5d),"{'n_iterations': 2000, 'block_size_bars': 720, 'sharpe_median': 1.7997805057378917, 'sharpe_ci_95_low': 0.7554478929694535, 'sharpe_ci_95_high': 3.02209625032856, 'p_sharpe_gt_1': 0.938, 'p_sharpe_gt_0': 0.997}"
