tag,interval,target_days,rebalance_days,cv_mean_rank_ic,n_train,w_ml,w_carry,production_tag,validation_ml_sharpe,validation_carry_sharpe,validation_sleeve_sharpe,validation_max_dd,validation_total_log,validation_sharpe_dd,selectable,rank_by_validation_sharpe_dd
8h_fwd5d,8h,5,5,0.006102445029125422,60060,0.35,0.65,True,0.6647680111244759,0.8920276797248848,0.9539261640927925,-0.07701089357577787,0.10522892677555297,12.386899045057044,True,1
8h_fwd3d,8h,3,3,0.004223718614723216,60060,0.35,0.65,False,0.3337485562024842,1.2130142236901245,1.0452502151705658,-0.09453395487285994,0.11640446502972597,11.056875982564547,True,2
8h_fwd2d,8h,2,2,0.002850655508494057,60060,0.35,0.65,False,-0.35245772885512994,1.2761181479245876,0.8189658115624556,-0.09958702478472176,0.0927786326153214,8.223619626480678,True,3
8h_fwd4d,8h,4,4,0.0009904849833987925,60060,0.35,0.65,False,0.018730160521000832,0.7896359034887461,0.6266665207074763,-0.09565251008252026,0.06810158167004815,6.551490600370503,True,4
8h_fwd6d,8h,6,6,0.010297170695732358,60060,0.35,0.65,False,-0.36015602317125484,1.0323168583537086,0.633169289384166,-0.11389954896676688,0.06893255801241556,5.559014896265387,True,5
8h_fwd1d,8h,1,1,0.002543677165561058,60060,0.35,0.65,False,-0.982915625040087,0.9537405062712915,0.3479653216662279,-0.11475088625614444,0.03802768877841796,3.032354110882484,True,6
8h_fwd7d,8h,7,7,0.011682190087047323,60060,0.35,0.65,False,-1.3521259284182854,0.7678459338014364,-0.0011695954230842521,-0.08886068207866044,-0.00012972637752620836,-0.013162125202335423,True,7
